Path,Mean,StdDev,Max
penultimate/llama3.1_8b/with_geom_time_cluster/mrr_metrics_canva.csv,38.56,3.37,42.96
penultimate/llama3.1_8b/with_geom/mrr_metrics_canva.csv,15.86,0.41,16.63
penultimate/llama3.1_8b/with_geom_time_best_cluster/mrr_metrics_canva.csv,21.26,2.35,23.70
penultimate/llama3.1_8b/base_version/mrr_metrics_canva.csv,17.10,0.54,17.97
penultimate/mixtral_8x7b/with_geom_time/mrr_metrics_canva.csv,19.19,0.68,20.26
penultimate/mixtral_8x7b/with_geom_time_cluster/mrr_metrics_canva.csv,43.09,3.21,46.51
penultimate/mixtral_8x7b/with_geom/mrr_metrics_canva.csv,23.25,0.96,25.14
penultimate/mixtral_8x7b/with_geom_time_best_cluster/mrr_metrics_canva.csv,24.08,4.51,29.33
penultimate/mixtral_8x7b/base_version/mrr_metrics_canva.csv,16.64,0.60,17.23
penultimate/deepseek-coder_33b/with_geom_time/mrr_metrics_canva.csv,13.70,0.34,14.17
penultimate/deepseek-coder_33b/with_geom_time_cluster/mrr_metrics_canva.csv,34.98,4.74,41.44
penultimate/deepseek-coder_33b/with_geom/mrr_metrics_canva.csv,13.88,0.30,14.35
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/mrr_metrics_canva.csv,15.20,0.86,16.34
penultimate/deepseek-coder_33b/base_version/mrr_metrics_canva.csv,10.04,3.76,13.27
penultimate/qwen2.5_14b/with_geom_time/mrr_metrics_canva.csv,30.00,1.59,31.60
penultimate/qwen2.5_14b/with_geom_time_cluster/mrr_metrics_canva.csv,43.80,3.02,48.66
penultimate/qwen2.5_14b/with_geom/mrr_metrics_canva.csv,31.45,1.64,33.44
penultimate/qwen2.5_14b/with_geom_time_best_cluster/mrr_metrics_canva.csv,25.41,4.96,31.78
penultimate/qwen2.5_14b/base_version/mrr_metrics_canva.csv,11.23,0.93,13.20
penultimate/mistral_7b/with_geom_time/mrr_metrics_canva.csv,24.53,1.06,25.70
penultimate/mistral_7b/with_geom_time_cluster/mrr_metrics_canva.csv,43.73,3.07,48.72
penultimate/mistral_7b/with_geom/mrr_metrics_canva.csv,29.73,1.48,30.84
penultimate/mistral_7b/with_geom_time_best_cluster/mrr_metrics_canva.csv,24.28,2.63,28.16
penultimate/mistral_7b/base_version/mrr_metrics_canva.csv,8.31,0.55,9.06
